,home_team,away_team,date
132,White Bear Lake,Wayzata,Mon Apr 27
133,Forest Lake,Park of Cottage Grove,Wed Apr 22
134,Edina,Rosemount,Thu May 21
135,Roseville,Stillwater,Fri May  8
136,Buffalo,Moorhead,Fri May  1
137,Southwest Christian,Hopkins,Tue May 12
138,Chaska,St. Louis Park,Tue May  5
139,Apple Valley,Lakeville North,Tue May 19
140,Farmington,Prior Lake,Tue May 12
141,Sartell Sauk Rapids,Moorhead,Tue Apr 21
142,Elk River/Zimmerman,Blaine,Wed May  6
143,Rochester Mayo,Hastings,Thu Apr 16
144,Apple Valley,Eastview,Thu Apr 23
145,Osseo Park Center,Anoka,Fri Apr 24
146,Chisago Lakes,Becker,Thu May 14
147,Cretin-Derham Hall,Blaine,Sat May  9
148,Simley,St. Thomas Academy,Wed May 13
149,White Bear Lake,Cretin-Derham Hall,Fri May  8
150,East Ridge,Forest Lake,Fri May  8
151,Woodbury,Eden Prairie,Mon May 18
152,Blaine,Spring Lake Park,Wed May 20
153,Rogers,Anoka,Mon May 11
154,Edina,Eastview,Wed Apr 15
155,St. Paul,TrIMAC,Wed Apr 22
156,Grand Rapids,Duluth,Mon May  4
157,Chisago Lakes,Delano/Rockford,Fri Apr 24
158,Shakopee,Lakeville South,Fri May  1
159,Mankato,Rochester Mayo,Mon May  4
160,Tartan,Rochester JM Lourdes,Wed Apr 15
161,Osseo Park Center,Breck,Wed May 20
162,Sartell Sauk Rapids,Monticello,Mon May  4
163,Bloomington Kennedy,Chaska,Tue May 19
164,Andover,Buffalo,Thu Apr 30
165,Tartan,Minneapolis,Mon Apr 13
166,Minneapolis,Moorhead,Fri May 22
167,Cretin-Derham Hall,New Prague,Sat Apr 18
168,Andover,Coon Rapids,Mon Apr 13
169,Spring Lake Park,Osseo Park Center,Mon May  4
170,Mound Westonka,Chaska,Tue May 12
171,Bloomington Jefferson,Apple Valley,Sat May  9
172,Sartell Sauk Rapids,Brainerd,Thu May 14
