,home_team,away_team,date
570,St. Michael-Albertville,Mahtomedi,Sat May 16
571,Delano/Rockford,Orono,Thu Apr 30
572,Rogers,Duluth,Sat May  2
573,Buffalo,Edina,Mon Apr 27
574,Robbinsdale Armstrong,Maple Grove,Fri Apr 24
575,Bloomington Kennedy,Holy Angels,Fri May  8
576,Apple Valley,Shakopee,Tue May 12
577,Osseo/Park Center,Breck,Wed May 20
578,Edina,Wayzata,Thu Apr 23
579,Rochester Century,Owatonna,Thu Apr 23
580,Mounds View,Irondale,Fri May  8
581,St. Thomas Academy,Hill-Murray,Tue May  5
582,Osseo Park Center,Robbinsdale Armstrong,Wed May 13
583,Blake,Holy Family,Tue Apr 21
584,Andover,Osseo Park Center,Mon Apr 20
585,Chaska,Delano Rockford,Thu Apr  9
586,Mankato,Rochester Century,Thu Apr 30
587,Rosemount,Prior Lake,Wed May  6
588,Breck,Mound Westonka,Fri Apr 17
589,Buffalo,Delano Rockford,Mon Apr 13
590,Holy Family,Sartell/Sauk Rapids,Thu May 21
591,Farmington,Apple Valley,Tue Apr 28
592,Northfield,Rochester Mayo,Thu Apr 23
593,Lakeville South,Farmington,Wed May  6
594,Irondale,St. Michael-Albertville,Wed Apr 15
595,Rogers,Robbinsdale Armstrong,Mon May  4
596,Southwest Christian,Waconia,Tue May 19
597,Delano Rockford,Southwest Christian,Mon Apr 27
598,Sartell/Sauk Rapids,St. Cloud,Mon May 11
599,Orono,Waconia,Thu May 21
600,Hopkins,St. Louis Park,Sat May  9
601,Elk River Zimmerman,Anoka,Mon Apr 20
602,Hill-Murray,Hastings,Mon Apr 20
603,Rochester Mayo,Owatonna,Thu Apr 30
604,Delano/Rockford,Southwest Christian,Mon Apr 27
605,New Prague,Holy Family,Mon May 11
606,Providence Academy,Southwest Christian,Thu Apr  9
607,Mahtomedi,Eastview,Sat Apr 18
608,East Ridge,Roseville,Tue Apr 21
609,Spring Lake Park,Osseo/Park Center,Mon May  4
610,Sartell/Sauk Rapids,Moorhead,Tue Apr 21
611,Wayzata,Mahtomedi,Sat May  9
612,Prior Lake,Lakeville South,Thu May 14
613,Maple Grove,Osseo/Park Center,Mon Apr 27
614,Prior Lake,Burnsville,Thu Apr 30
615,Providence Academy,TrIMAC,Tue Apr 28
616,Owatonna,Rochester JM Lourdes,Mon Apr 27
617,Simley,Mahtomedi,Mon Apr 27
618,Hermantown Proctor,Minneapolis,Fri Apr 24
619,Totino-Grace,Coon Rapids,Mon May  4
620,Coon Rapids,Robbinsdale Armstrong,Wed May  6
621,Delano Rockford,Becker,Tue Apr 28
622,Mankato,Farmington,Thu Apr 16
623,Minnetonka,Northfield,Wed May 20
624,Burnsville,Shakopee,Fri Apr 24
625,Eagan,Eastview,Thu May 14
626,Sartell/Sauk Rapids,Rocori,Mon Apr 20
627,Eagan,Shakopee,Thu May  7
628,Farmington,Eden Prairie,Thu Mar  19
