,home_team,home_team_score,home_team_record,home_team_GFvGA,away_team,away_team_score,away_team_record,away_team_GFvGA,winner,year,date
854,Lakeville South,8,0.4615384615384616,0.4942339373970346,Stillwater,15,0.92,0.7283702213279678,1,2019,Sat May  4
855,Woodbury,9,0.4166666666666667,0.43315508021390375,Forest Lake,3,0.19230769230769232,0.3790849673202614,0,2019,Tue May  7
856,Providence Academy,14,0.4545454545454545,0.471057884231537,TrIMAC,13,0.2,0.3805147058823529,0,2018,Tue May 22
857,Bloomington Kennedy,3,0.4166666666666667,0.4337078651685393,Rosemount,17,0.72,0.6347826086956522,1,2019,Tue Apr 16
858,Chanhassen,19,0.72,0.6299559471365639,St. Louis Park,0,0.125,0.21521739130434786,0,2019,Tue May 14
859,Chanhassen,6,0.72,0.6299559471365639,Lakeville North,8,0.64,0.5704989154013015,1,2019,Thu Apr 18
860,Rocori,15,0.4583333333333333,0.4561855670103093,Sartell Sauk Rapids,3,0.20833333333333331,0.271264367816092,0,2019,Fri May 24
861,Mahtomedi,9,0.6923076923076923,0.6294117647058823,Wayzata,7,0.52,0.5757575757575758,0,2019,Sat May  4
862,Elk River Zimmerman,13,0.76,0.6173708920187794,Centennial,12,0.75,0.6349892008639308,0,2018,Mon May 14
863,Northfield,5,0.56,0.5971896955503513,Rochester Century,8,0.28,0.3638253638253639,1,2018,Sat Apr 21
864,Coon Rapids,13,0.15384615384615385,0.3166023166023166,Totino-Grace,9,0.19230769230769232,0.3392857142857143,0,2019,Mon May  6
865,Blake,17,0.5769230769230769,0.6049382716049383,Holy Family,2,0.13043478260869565,0.2868020304568528,0,2018,Mon May 21
866,Breck,15,0.72,0.5989847715736041,Waconia,0,0.09090909090909093,0.2525252525252525,0,2019,Mon Apr 15
867,Mahtomedi,18,0.6923076923076923,0.6294117647058823,White Bear Lake,5,0.72,0.6255411255411255,0,2018,Mon May 14
868,Eagan,12,0.7083333333333334,0.6666666666666666,Lakeville North,9,0.64,0.5704989154013015,0,2019,Mon May  6
869,Wayzata,10,0.52,0.5757575757575758,Lakeville North,7,0.64,0.5704989154013015,0,2019,Sat Apr 20
870,Rochester JM Lourdes,3,0.25,0.3605442176870749,Northfield,16,0.56,0.5971896955503513,1,2019,Thu May  2
871,Henry Sibley,7,0.2727272727272727,0.2891566265060241,Hastings,14,0.6153846153846154,0.5961538461538461,1,2019,Tue May  7
872,Eagan,16,0.7083333333333334,0.6666666666666666,Burnsville,1,0.36,0.4025423728813559,0,2018,Tue May 15
873,Orono,16,0.5384615384615384,0.5379876796714579,Waconia,3,0.09090909090909093,0.2525252525252525,0,2019,Thu May 23
874,North St. Paul,2,0.045454545454545456,0.13817330210772832,Tartan,15,0.2692307692307692,0.3807339449541284,1,2018,Thu May 10
875,Hastings,18,0.6153846153846154,0.5961538461538461,Rochester Century,7,0.28,0.3638253638253639,0,2019,Sat May 11
876,Apple Valley,8,0.24,0.299163179916318,Shakopee,17,0.6153846153846154,0.5754716981132075,1,2019,Tue May 14
877,Blaine,6,0.68,0.6119791666666666,Centennial,10,0.75,0.6349892008639308,1,2019,Wed May 15
878,Lakeville North,6,0.64,0.5704989154013015,Wayzata,12,0.52,0.5757575757575758,1,2018,Mon Apr 23
879,Mahtomedi,2,0.6923076923076923,0.6294117647058823,Prior Lake,13,0.8076923076923077,0.7090069284064665,1,2019,Sat May 11
880,Farmington,6,0.19230769230769232,0.2717678100263852,Owatonna,5,0.5769230769230769,0.6091954022988506,0,2018,Mon Apr 23
881,Minneapolis,10,0.5416666666666666,0.5553470919324578,Rochester Century,5,0.28,0.3638253638253639,0,2018,Wed May 16
