,home_team,home_team_score,home_team_record,home_team_GFvGA,away_team,away_team_score,away_team_record,away_team_GFvGA,winner,year,date
0,Benilde-St. Margarets,9,1.0,0.7230769230769231,Mahtomedi,5,0.6923076923076923,0.6294117647058823,0,2018,Sat May 12
1,Stillwater,13,0.92,0.7283702213279678,Mounds View,4,0.48,0.5055928411633109,0,2019,Tue Apr 30
2,Hill-Murray,0,0.2916666666666667,0.3333333333333333,Hastings,19,0.6153846153846154,0.5961538461538461,1,2019,Mon Apr 29
3,St. Thomas Academy,9,0.8461538461538461,0.7041942604856513,Owatonna,3,0.5769230769230769,0.6091954022988506,0,2018,Sat Apr 28
4,Big Lake,1,0.0,0.14418604651162792,St. Michael-Albertville,21,0.88,0.8653465346534653,1,2019,Wed May 15
5,Brainerd,4,0.08333333333333333,0.13901345291479822,Rocori,13,0.4583333333333333,0.4561855670103093,1,2019,Mon May  6
6,Hopkins,0,0.15384615384615385,0.201530612244898,Breck,5,0.72,0.5989847715736041,1,2018,Sat Apr 28
7,Shakopee,6,0.6153846153846154,0.5754716981132075,Lakeville North,10,0.64,0.5704989154013015,1,2018,Fri May 18
8,Northfield,7,0.56,0.5971896955503513,Duluth,8,0.8461538461538461,0.6708860759493671,1,2019,Sat Apr 13
9,Eastview,5,0.4615384615384616,0.5609756097560976,Farmington,2,0.19230769230769232,0.2717678100263852,0,2019,Tue Apr 23
10,St. Louis Park,6,0.125,0.21521739130434786,Totino-Grace,18,0.19230769230769232,0.3392857142857143,1,2019,Mon Apr 22
11,Hastings,18,0.6153846153846154,0.5961538461538461,Forest Lake,8,0.19230769230769232,0.3790849673202614,0,2018,Fri May 25
12,Shakopee,19,0.6153846153846154,0.5754716981132075,Delano Rockford,3,0.7307692307692307,0.6274944567627494,0,2019,Thu May 23
13,Wayzata,6,0.52,0.5757575757575758,Chanhassen,10,0.72,0.6299559471365639,1,2018,Thu May 10
14,TrIMAC,9,0.2,0.3805147058823529,Hermantown Proctor,19,0.4166666666666667,0.4541284403669725,1,2019,Wed Apr 24
15,Holy Family,8,0.13043478260869565,0.2868020304568528,Delano Rockford,17,0.7307692307692307,0.6274944567627494,1,2019,Mon May 20
16,Providence Academy,8,0.4545454545454545,0.471057884231537,Holy Angels,24,0.6521739130434783,0.534516765285996,1,2018,Tue May  1
17,Irondale,17,0.9230769230769232,0.7096069868995634,Totino-Grace,7,0.19230769230769232,0.3392857142857143,0,2018,Fri May  4
18,Holy Angels,14,0.6521739130434783,0.534516765285996,St. Thomas Academy,11,0.8461538461538461,0.7041942604856513,0,2018,Fri Apr 13
19,Brainerd,1,0.08333333333333333,0.13901345291479822,Osseo Park Center,22,0.3703703703703704,0.5057251908396947,1,2018,Sat Apr 28
20,Edina,6,0.4615384615384616,0.5092592592592593,Eden Prairie,9,0.68,0.596875,1,2018,Thu May 10
21,Wayzata,9,0.52,0.5757575757575758,Edina,10,0.4615384615384616,0.5092592592592593,1,2019,Tue May 14
22,Chaska,2,0.3461538461538461,0.4004739336492891,Benilde-St. Margarets,12,1.0,0.7230769230769231,1,2018,Thu May  3
23,St. Paul,9,0.5,0.4967320261437909,Rochester JM Lourdes,5,0.25,0.3605442176870749,0,2019,Wed May  8
24,Rosemount,11,0.72,0.6347826086956522,Lakeville South,12,0.4615384615384616,0.4942339373970346,1,2019,Thu Apr 25
25,Burnsville,3,0.36,0.4025423728813559,Eagan,18,0.7083333333333334,0.6666666666666666,1,2019,Tue Apr 23
26,Minneapolis,8,0.5416666666666666,0.5553470919324578,Apple Valley,10,0.24,0.299163179916318,1,2018,Wed Apr 25
27,Mahtomedi,14,0.6923076923076923,0.6294117647058823,Henry Sibley,1,0.2727272727272727,0.2891566265060241,0,2019,Mon Apr 29
28,Stillwater,7,0.92,0.7283702213279678,East Ridge,4,0.8076923076923077,0.6064814814814815,0,2018,Thu Apr 26
29,Buffalo,1,0.6666666666666666,0.6193293885601578,St. Michael-Albertville,15,0.88,0.8653465346534653,1,2019,Thu May  9
30,North St. Paul,3,0.045454545454545456,0.13817330210772832,Southwest Christian,18,0.3333333333333333,0.4048582995951417,1,2019,Fri Apr 26
31,TrIMAC,6,0.2,0.3805147058823529,Breck,15,0.72,0.5989847715736041,1,2019,Thu Apr 25
32,Woodbury,8,0.4166666666666667,0.43315508021390375,Duluth,7,0.8461538461538461,0.6708860759493671,0,2019,Sat Apr 20
33,Eastview,18,0.4615384615384616,0.5609756097560976,Bloomington Kennedy,7,0.4166666666666667,0.4337078651685393,0,2019,Thu May 23
34,Sartell Sauk Rapids,4,0.20833333333333331,0.271264367816092,Rogers,16,0.7083333333333334,0.6714876033057852,1,2018,Mon Apr 30
35,Rochester Mayo,6,0.52,0.4576271186440678,Owatonna,14,0.5769230769230769,0.6091954022988506,1,2018,Sat Apr 21
36,Elk River Zimmerman,13,0.76,0.6173708920187794,Spring Lake Park,3,0.1153846153846154,0.29195402298850576,0,2019,Mon May 13
37,Farmington,3,0.19230769230769232,0.2717678100263852,Apple Valley,12,0.24,0.299163179916318,1,2018,Thu May 17
38,Hill-Murray,3,0.2916666666666667,0.3333333333333333,Moorhead,11,0.4,0.4748201438848921,1,2019,Thu May  2
39,Simley,10,0.4166666666666667,0.4911111111111111,Tartan,9,0.2692307692307692,0.3807339449541284,0,2018,Wed May 16
40,North St. Paul,3,0.045454545454545456,0.13817330210772832,Hill-Murray,16,0.2916666666666667,0.3333333333333333,1,2019,Wed May 15
41,Breck,11,0.72,0.5989847715736041,Holy Family,3,0.13043478260869565,0.2868020304568528,0,2019,Thu May  9
42,Brainerd,2,0.08333333333333333,0.13901345291479822,Buffalo,25,0.6666666666666666,0.6193293885601578,1,2019,Thu May  2
43,Andover,7,0.6923076923076923,0.5466101694915254,Irondale,11,0.9230769230769232,0.7096069868995634,1,2018,Wed Apr 25
44,Champlin Park,13,0.4615384615384616,0.4656319290465632,Grand Rapids,8,0.3478260869565217,0.4595469255663429,0,2018,Wed May  2
45,Osseo Park Center,11,0.3703703703703704,0.5057251908396947,Totino-Grace,5,0.19230769230769232,0.3392857142857143,0,2018,Mon May  7
46,St. Paul,6,0.5,0.4967320261437909,Henry Sibley,5,0.2727272727272727,0.2891566265060241,0,2019,Wed May 15
47,Sartell Sauk Rapids,10,0.20833333333333331,0.271264367816092,Big Lake,9,0.0,0.14418604651162792,0,2019,Thu Apr 25
48,Centennial,16,0.75,0.6349892008639308,Osseo Park Center,4,0.3703703703703704,0.5057251908396947,0,2019,Wed Apr 24
49,Rochester Century,5,0.28,0.3638253638253639,Owatonna,15,0.5769230769230769,0.6091954022988506,1,2019,Mon May 13
50,St. Paul,6,0.5,0.4967320261437909,Mankato,7,0.4166666666666667,0.4609571788413098,1,2019,Mon Apr 29
51,White Bear Lake,19,0.72,0.6255411255411255,Chisago Lakes,3,0.5416666666666666,0.5542452830188679,0,2019,Wed May 22
52,Benilde-St. Margarets,12,1.0,0.7230769230769231,Bloomington Jefferson,5,0.5384615384615384,0.5596330275229358,0,2018,Tue May 22
53,Northfield,19,0.56,0.5971896955503513,Rochester Century,4,0.28,0.3638253638253639,0,2019,Thu May  9
54,Holy Family,6,0.13043478260869565,0.2868020304568528,Buffalo,20,0.6666666666666666,0.6193293885601578,1,2018,Fri May 11
55,Minnetonka,14,0.88,0.6847290640394089,Hopkins,1,0.15384615384615385,0.201530612244898,0,2018,Tue May 22
56,Robbinsdale Armstrong,7,0.4615384615384616,0.4762886597938144,Blaine,8,0.68,0.6119791666666666,1,2018,Fri Apr 27
57,TrIMAC,4,0.2,0.3805147058823529,Breck,9,0.72,0.5989847715736041,1,2018,Thu May 24
58,Woodbury,7,0.4166666666666667,0.43315508021390375,Cretin-Derham Hall,6,0.4615384615384616,0.4822222222222222,0,2019,Thu May 16
59,Cretin-Derham Hall,4,0.4615384615384616,0.4822222222222222,Park of Cottage Grove,6,0.5769230769230769,0.5265700483091788,1,2019,Tue May  7
60,Sartell Sauk Rapids,5,0.20833333333333331,0.271264367816092,Rocori,15,0.4583333333333333,0.4561855670103093,1,2019,Mon May 20
61,Chisago Lakes,7,0.5416666666666666,0.5542452830188679,Buffalo,5,0.6666666666666666,0.6193293885601578,0,2019,Mon May 20
62,Roseville,9,0.5,0.5333333333333333,Breck,10,0.72,0.5989847715736041,1,2019,Thu May 23
63,Hermantown Proctor,2,0.4166666666666667,0.4541284403669725,Mounds View,18,0.48,0.5055928411633109,1,2018,Sat Apr 21
64,Blaine,12,0.68,0.6119791666666666,Woodbury,6,0.4166666666666667,0.43315508021390375,0,2019,Sat May 11
65,Elk River Zimmerman,11,0.76,0.6173708920187794,Champlin Park,5,0.4615384615384616,0.4656319290465632,0,2019,Wed May 22
66,Rochester Mayo,7,0.52,0.4576271186440678,Owatonna,5,0.5769230769230769,0.6091954022988506,0,2019,Mon May 20
67,Blake,11,0.5769230769230769,0.6049382716049383,Breck,7,0.72,0.5989847715736041,0,2018,Thu May  3
68,Centennial,10,0.75,0.6349892008639308,Blaine,8,0.68,0.6119791666666666,0,2018,Mon Apr 30
69,Mahtomedi,6,0.6923076923076923,0.6294117647058823,Stillwater,13,0.92,0.7283702213279678,1,2019,Thu Apr 18
70,Stillwater,18,0.92,0.7283702213279678,Orono,8,0.5384615384615384,0.5379876796714579,0,2018,Thu May 17
71,Mounds View,11,0.48,0.5055928411633109,Hastings,4,0.6153846153846154,0.5961538461538461,0,2019,Tue Apr 23
72,Anoka,10,0.2,0.3634408602150538,Andover,12,0.6923076923076923,0.5466101694915254,1,2018,Wed May 16
73,Andover,13,0.6923076923076923,0.5466101694915254,Robbinsdale Armstrong,6,0.4615384615384616,0.4762886597938144,0,2019,Wed May 22
74,Forest Lake,4,0.19230769230769232,0.3790849673202614,Park of Cottage Grove,14,0.5769230769230769,0.5265700483091788,1,2018,Thu Apr 26
75,Farmington,2,0.19230769230769232,0.2717678100263852,Breck,6,0.72,0.5989847715736041,1,2018,Tue Apr 24
76,Mounds View,10,0.48,0.5055928411633109,Park of Cottage Grove,15,0.5769230769230769,0.5265700483091788,1,2018,Thu May 10
77,Rogers,15,0.7083333333333334,0.6714876033057852,Delano Rockford,4,0.7307692307692307,0.6274944567627494,0,2018,Wed May 23
78,Tartan,0,0.2692307692307692,0.3807339449541284,White Bear Lake,18,0.72,0.6255411255411255,1,2018,Thu Apr 12
79,Anoka,2,0.2,0.3634408602150538,Irondale,17,0.9230769230769232,0.7096069868995634,1,2019,Fri May  3
80,Orono,9,0.5384615384615384,0.5379876796714579,Holy Angels,12,0.6521739130434783,0.534516765285996,1,2018,Thu Apr 26
81,Chanhassen,9,0.72,0.6299559471365639,Eastview,5,0.4615384615384616,0.5609756097560976,0,2018,Sat May 19
82,Duluth,2,0.8461538461538461,0.6708860759493671,Hill-Murray,5,0.2916666666666667,0.3333333333333333,1,2018,Fri May 18
83,Hermantown Proctor,7,0.4166666666666667,0.4541284403669725,Hill-Murray,13,0.2916666666666667,0.3333333333333333,1,2018,Sat May 19
84,Orono,5,0.5384615384615384,0.5379876796714579,Buffalo,4,0.6666666666666666,0.6193293885601578,0,2019,Thu Apr 18
85,Maple Grove,10,0.6,0.6025316455696202,Totino-Grace,5,0.19230769230769232,0.3392857142857143,0,2018,Wed Apr 25
86,Rochester Mayo,10,0.52,0.4576271186440678,Mankato,7,0.4166666666666667,0.4609571788413098,0,2019,Wed May 15
87,North St. Paul,0,0.045454545454545456,0.13817330210772832,Hastings,21,0.6153846153846154,0.5961538461538461,1,2019,Wed May  1
88,Forest Lake,7,0.19230769230769232,0.3790849673202614,Mounds View,9,0.48,0.5055928411633109,1,2019,Thu May 16
89,Monticello,11,0.5652173913043478,0.4962593516209477,Providence Academy,10,0.4545454545454545,0.471057884231537,0,2019,Tue May 21
90,Blake,6,0.5769230769230769,0.6049382716049383,Benilde-St. Margarets,10,1.0,0.7230769230769231,1,2018,Tue May  1
91,North St. Paul,7,0.045454545454545456,0.13817330210772832,Henry Sibley,10,0.2727272727272727,0.2891566265060241,1,2019,Mon Apr 22
92,Lakeville North,13,0.64,0.5704989154013015,Burnsville,1,0.36,0.4025423728813559,0,2018,Tue May 22
93,Apple Valley,2,0.24,0.299163179916318,Eagan,23,0.7083333333333334,0.6666666666666666,1,2019,Thu May  2
94,Minnetonka,9,0.88,0.6847290640394089,St. Michael-Albertville,4,0.88,0.8653465346534653,0,2019,Thu May 23
95,Park of Cottage Grove,7,0.5769230769230769,0.5265700483091788,Simley,5,0.4166666666666667,0.4911111111111111,0,2018,Mon May 21
96,Spring Lake Park,5,0.1153846153846154,0.29195402298850576,Anoka,12,0.2,0.3634408602150538,1,2019,Wed Apr 24
97,Minnetonka,11,0.88,0.6847290640394089,Bloomington Kennedy,5,0.4166666666666667,0.4337078651685393,0,2018,Thu May  3
98,Minnetonka,15,0.88,0.6847290640394089,Orono,1,0.5384615384615384,0.5379876796714579,0,2019,Tue Apr 16
99,Rochester Mayo,6,0.52,0.4576271186440678,Owatonna,10,0.5769230769230769,0.6091954022988506,1,2018,Mon May  7
100,Henry Sibley,7,0.2727272727272727,0.2891566265060241,Southwest Christian,4,0.3333333333333333,0.4048582995951417,0,2019,Tue May 21
101,Lakeville South,18,0.4615384615384616,0.4942339373970346,Eastview,11,0.4615384615384616,0.5609756097560976,0,2019,Tue May 21
102,St. Thomas Academy,18,0.8461538461538461,0.7041942604856513,Henry Sibley,0,0.2727272727272727,0.2891566265060241,0,2019,Thu May  9
103,St. Cloud,4,0.4,0.41326530612244894,Rogers,17,0.7083333333333334,0.6714876033057852,1,2019,Mon Apr 29
104,Robbinsdale Armstrong,7,0.4615384615384616,0.4762886597938144,Centennial,12,0.75,0.6349892008639308,1,2019,Mon Apr 22
105,Becker,17,0.6818181818181818,0.6194444444444445,Hutchinson,0,0.0,0.062200956937799035,0,2018,Fri May  4
106,Bloomington Jefferson,17,0.5384615384615384,0.5596330275229358,Apple Valley,5,0.24,0.299163179916318,0,2019,Sat May 11
107,Duluth,11,0.8461538461538461,0.6708860759493671,Minneapolis,4,0.5416666666666666,0.5553470919324578,0,2019,Fri Apr 26
108,Cretin-Derham Hall,10,0.4615384615384616,0.4822222222222222,White Bear Lake,7,0.72,0.6255411255411255,0,2019,Tue Apr 30
109,Bloomington Kennedy,2,0.4166666666666667,0.4337078651685393,Benilde-St. Margarets,19,1.0,0.7230769230769231,1,2019,Tue May 14
110,Rosemount,11,0.72,0.6347826086956522,Lakeville North,14,0.64,0.5704989154013015,1,2019,Tue Apr 23
111,Orono,17,0.5384615384615384,0.5379876796714579,Blake,14,0.5769230769230769,0.6049382716049383,0,2018,Tue May 15
112,St. Thomas Academy,9,0.8461538461538461,0.7041942604856513,Bloomington Kennedy,5,0.4166666666666667,0.4337078651685393,0,2018,Sat May  5
113,Providence Academy,9,0.4545454545454545,0.471057884231537,Rochester JM Lourdes,13,0.25,0.3605442176870749,1,2018,Tue Apr 24
114,Apple Valley,4,0.24,0.299163179916318,Prior Lake,16,0.8076923076923077,0.7090069284064665,1,2018,Tue May  1
115,Prior Lake,12,0.8076923076923077,0.7090069284064665,Eastview,4,0.4615384615384616,0.5609756097560976,0,2019,Tue Apr 30
116,Rochester JM Lourdes,6,0.25,0.3605442176870749,Rochester Century,13,0.28,0.3638253638253639,1,2018,Mon May 21
117,Anoka,10,0.2,0.3634408602150538,Osseo Park Center,7,0.3703703703703704,0.5057251908396947,0,2019,Fri May 17
118,Wayzata,19,0.52,0.5757575757575758,Hopkins,0,0.15384615384615385,0.201530612244898,0,2018,Thu May 17
119,Forest Lake,17,0.19230769230769232,0.3790849673202614,Hermantown Proctor,6,0.4166666666666667,0.4541284403669725,0,2019,Mon May 13
120,Minnetonka,13,0.88,0.6847290640394089,Rosemount,7,0.72,0.6347826086956522,0,2019,Sat Apr 20
121,TrIMAC,11,0.2,0.3805147058823529,St. Paul,10,0.5,0.4967320261437909,0,2019,Fri May 24
122,Rochester Mayo,8,0.52,0.4576271186440678,Rochester JM Lourdes,6,0.25,0.3605442176870749,0,2018,Sat Apr 28
123,Mahtomedi,18,0.6923076923076923,0.6294117647058823,Hill-Murray,1,0.2916666666666667,0.3333333333333333,0,2019,Wed May  1
124,Rochester Century,6,0.28,0.3638253638253639,Owatonna,9,0.5769230769230769,0.6091954022988506,1,2018,Thu Apr 26
125,Becker,9,0.6818181818181818,0.6194444444444445,Grand Rapids,4,0.3478260869565217,0.4595469255663429,0,2018,Sat May 26
126,TrIMAC,19,0.2,0.3805147058823529,North St. Paul,7,0.045454545454545456,0.13817330210772832,0,2019,Thu May 23
127,Becker,2,0.6818181818181818,0.6194444444444445,St. Michael-Albertville,20,0.88,0.8653465346534653,1,2018,Thu May 10
128,Benilde-St. Margarets,25,1.0,0.7230769230769231,St. Louis Park,0,0.125,0.21521739130434786,0,2019,Thu Apr 18
129,Edina,7,0.4615384615384616,0.5092592592592593,Benilde-St. Margarets,11,1.0,0.7230769230769231,1,2019,Sat May 18
130,Tartan,3,0.2692307692307692,0.3807339449541284,East Ridge,16,0.8076923076923077,0.6064814814814815,1,2019,Tue Apr 16
131,Becker,7,0.6818181818181818,0.6194444444444445,Rogers,6,0.7083333333333334,0.6714876033057852,0,2019,Thu Apr 25
132,Mankato,9,0.4166666666666667,0.4609571788413098,Rochester JM Lourdes,12,0.25,0.3605442176870749,1,2018,Fri May 18
133,Breck,9,0.72,0.5989847715736041,Providence Academy,5,0.4545454545454545,0.471057884231537,0,2019,Thu Apr 18
134,North St. Paul,0,0.045454545454545456,0.13817330210772832,Simley,19,0.4166666666666667,0.4911111111111111,1,2018,Mon Apr 30
135,Eastview,17,0.4615384615384616,0.5609756097560976,Rochester Century,3,0.28,0.3638253638253639,0,2018,Tue Apr 24
136,Blaine,8,0.68,0.6119791666666666,Elk River Zimmerman,7,0.76,0.6173708920187794,0,2018,Wed May  2
137,St. Thomas Academy,11,0.8461538461538461,0.7041942604856513,Woodbury,4,0.4166666666666667,0.43315508021390375,0,2018,Sat May 19
138,Wayzata,3,0.52,0.5757575757575758,Minnetonka,10,0.88,0.6847290640394089,1,2019,Tue Apr 23
139,Centennial,10,0.75,0.6349892008639308,Mounds View,7,0.48,0.5055928411633109,0,2019,Thu Apr 18
140,Owatonna,1,0.5769230769230769,0.6091954022988506,Shakopee,13,0.6153846153846154,0.5754716981132075,1,2019,Sat May 18
141,Elk River Zimmerman,13,0.76,0.6173708920187794,Totino-Grace,8,0.19230769230769232,0.3392857142857143,0,2019,Mon May 20
142,Northfield,18,0.56,0.5971896955503513,Rochester JM Lourdes,2,0.25,0.3605442176870749,0,2019,Mon May 20
143,Cretin-Derham Hall,9,0.4615384615384616,0.4822222222222222,Mounds View,5,0.48,0.5055928411633109,0,2018,Thu Apr 26
144,Champlin Park,5,0.4615384615384616,0.4656319290465632,Spring Lake Park,6,0.1153846153846154,0.29195402298850576,1,2019,Mon Apr 22
145,Holy Family,8,0.13043478260869565,0.2868020304568528,Moorhead,9,0.4,0.4748201438848921,1,2019,Sat May 25
146,Farmington,3,0.19230769230769232,0.2717678100263852,Shakopee,10,0.6153846153846154,0.5754716981132075,1,2019,Thu May 16
147,Prior Lake,10,0.8076923076923077,0.7090069284064665,Mahtomedi,2,0.6923076923076923,0.6294117647058823,0,2018,Sat May  5
148,Minneapolis,14,0.5416666666666666,0.5553470919324578,Hermantown Proctor,13,0.4166666666666667,0.4541284403669725,0,2019,Sat Apr 27
149,Park of Cottage Grove,12,0.5769230769230769,0.5265700483091788,Northfield,10,0.56,0.5971896955503513,0,2019,Fri May 17
150,Lakeville South,6,0.4615384615384616,0.4942339373970346,Rosemount,15,0.72,0.6347826086956522,1,2018,Thu May 10
151,Grand Rapids,1,0.3478260869565217,0.4595469255663429,Forest Lake,6,0.19230769230769232,0.3790849673202614,1,2019,Fri May  3
152,Eagan,26,0.7083333333333334,0.6666666666666666,Shakopee,3,0.6153846153846154,0.5754716981132075,0,2018,Tue May  1
153,St. Michael-Albertville,20,0.88,0.8653465346534653,Holy Family,1,0.13043478260869565,0.2868020304568528,0,2018,Mon May  7
154,Irondale,16,0.9230769230769232,0.7096069868995634,Coon Rapids,3,0.15384615384615385,0.3166023166023166,0,2019,Fri May 10
155,Chisago Lakes,18,0.5416666666666666,0.5542452830188679,Brainerd,4,0.08333333333333333,0.13901345291479822,0,2019,Thu May 23
156,Cretin-Derham Hall,9,0.4615384615384616,0.4822222222222222,Roseville,5,0.5,0.5333333333333333,0,2018,Thu May  3
157,Monticello,15,0.5652173913043478,0.4962593516209477,Sartell Sauk Rapids,4,0.20833333333333331,0.271264367816092,0,2018,Thu May 17
158,Hastings,18,0.6153846153846154,0.5961538461538461,TrIMAC,12,0.2,0.3805147058823529,0,2019,Fri May  3
159,Mounds View,14,0.48,0.5055928411633109,Roseville,7,0.5,0.5333333333333333,0,2019,Mon May  6
160,Hopkins,4,0.15384615384615385,0.201530612244898,Farmington,17,0.19230769230769232,0.2717678100263852,1,2019,Thu Apr 18
161,Buffalo,16,0.6666666666666666,0.6193293885601578,Monticello,9,0.5652173913043478,0.4962593516209477,0,2018,Fri May  4
162,Minnetonka,15,0.88,0.6847290640394089,Lakeville North,7,0.64,0.5704989154013015,0,2018,Mon May 14
163,Holy Angels,16,0.6521739130434783,0.534516765285996,Orono,15,0.5384615384615384,0.5379876796714579,0,2019,Tue May 21
164,Centennial,15,0.75,0.6349892008639308,Totino-Grace,2,0.19230769230769232,0.3392857142857143,0,2019,Wed May 22
165,Andover,6,0.6923076923076923,0.5466101694915254,Blaine,8,0.68,0.6119791666666666,1,2019,Fri May 17
166,Brainerd,0,0.08333333333333333,0.13901345291479822,St. Michael-Albertville,20,0.88,0.8653465346534653,1,2019,Fri May 24
167,Lakeville South,19,0.4615384615384616,0.4942339373970346,Burnsville,9,0.36,0.4025423728813559,0,2019,Thu May  9
168,Spring Lake Park,2,0.1153846153846154,0.29195402298850576,Andover,16,0.6923076923076923,0.5466101694915254,1,2019,Wed May  1
169,Holy Angels,14,0.6521739130434783,0.534516765285996,Apple Valley,6,0.24,0.299163179916318,0,2018,Sat May 12
170,St. Louis Park,6,0.125,0.21521739130434786,Roseville,7,0.5,0.5333333333333333,1,2018,Mon Apr 23
171,North St. Paul,0,0.045454545454545456,0.13817330210772832,Mahtomedi,18,0.6923076923076923,0.6294117647058823,1,2019,Thu Apr 25
172,Mankato,17,0.4166666666666667,0.4609571788413098,Rochester Century,4,0.28,0.3638253638253639,0,2019,Mon May 20
173,Owatonna,19,0.5769230769230769,0.6091954022988506,Rochester Century,6,0.28,0.3638253638253639,0,2019,Thu Apr 25
174,Blake,6,0.5769230769230769,0.6049382716049383,Chanhassen,11,0.72,0.6299559471365639,1,2019,Sat Apr 13
175,Coon Rapids,8,0.15384615384615385,0.3166023166023166,Robbinsdale Armstrong,12,0.4615384615384616,0.4762886597938144,1,2019,Thu May 16
176,Rosemount,10,0.72,0.6347826086956522,Farmington,5,0.19230769230769232,0.2717678100263852,0,2019,Thu May  2
177,Chanhassen,11,0.72,0.6299559471365639,Cretin-Derham Hall,4,0.4615384615384616,0.4822222222222222,0,2019,Sat May 18
178,North St. Paul,3,0.045454545454545456,0.13817330210772832,Roseville,17,0.5,0.5333333333333333,1,2019,Thu Apr 18
179,Monticello,7,0.5652173913043478,0.4962593516209477,Delano Rockford,14,0.7307692307692307,0.6274944567627494,1,2018,Mon May  7
180,Benilde-St. Margarets,7,1.0,0.7230769230769231,Bloomington Kennedy,6,0.4166666666666667,0.4337078651685393,0,2018,Tue May 15
181,Rochester Century,8,0.28,0.3638253638253639,Rochester Mayo,6,0.52,0.4576271186440678,0,2018,Thu May 24
182,Simley,9,0.4166666666666667,0.4911111111111111,East Ridge,13,0.8076923076923077,0.6064814814814815,1,2019,Wed May 22
183,St. Thomas Academy,12,0.8461538461538461,0.7041942604856513,Simley,3,0.4166666666666667,0.4911111111111111,0,2018,Wed May  2
184,Rochester JM Lourdes,11,0.25,0.3605442176870749,Rochester Century,10,0.28,0.3638253638253639,0,2019,Mon May  6
185,Rogers,11,0.7083333333333334,0.6714876033057852,Buffalo,13,0.6666666666666666,0.6193293885601578,1,2019,Thu May 23
186,Coon Rapids,2,0.15384615384615385,0.3166023166023166,Andover,16,0.6923076923076923,0.5466101694915254,1,2019,Fri May  3
187,Bloomington Jefferson,4,0.5384615384615384,0.5596330275229358,Chanhassen,14,0.72,0.6299559471365639,1,2018,Thu May  3
188,Hastings,8,0.6153846153846154,0.5961538461538461,Orono,10,0.5384615384615384,0.5379876796714579,1,2018,Sat Apr 28
189,Edina,6,0.4615384615384616,0.5092592592592593,Wayzata,9,0.52,0.5757575757575758,1,2018,Tue May 15
190,Maple Grove,7,0.6,0.6025316455696202,Blaine,5,0.68,0.6119791666666666,0,2019,Mon May 20
191,St. Thomas Academy,18,0.8461538461538461,0.7041942604856513,Hill-Murray,0,0.2916666666666667,0.3333333333333333,0,2019,Thu Apr 25
192,Roseville,16,0.5,0.5333333333333333,Tartan,3,0.2692307692307692,0.3807339449541284,0,2018,Sat May  5
193,White Bear Lake,5,0.72,0.6255411255411255,Wayzata,16,0.52,0.5757575757575758,1,2018,Mon May 21
194,Roseville,10,0.5,0.5333333333333333,Park of Cottage Grove,2,0.5769230769230769,0.5265700483091788,0,2019,Thu May 16
195,Stillwater,14,0.92,0.7283702213279678,Lakeville South,4,0.4615384615384616,0.4942339373970346,0,2018,Sat Apr 21
196,Benilde-St. Margarets,9,1.0,0.7230769230769231,Chanhassen,4,0.72,0.6299559471365639,0,2019,Tue May  7
197,Park of Cottage Grove,10,0.5769230769230769,0.5265700483091788,Woodbury,9,0.4166666666666667,0.43315508021390375,0,2018,Tue May  1
198,Brainerd,2,0.08333333333333333,0.13901345291479822,Hermantown Proctor,12,0.4166666666666667,0.4541284403669725,1,2018,Mon May 21
199,Blake,18,0.5769230769230769,0.6049382716049383,Southwest Christian,1,0.3333333333333333,0.4048582995951417,0,2019,Thu May 16
200,Simley,4,0.4166666666666667,0.4911111111111111,Woodbury,5,0.4166666666666667,0.43315508021390375,1,2019,Thu Apr 18
201,Irondale,17,0.9230769230769232,0.7096069868995634,Anoka,0,0.2,0.3634408602150538,0,2018,Fri May 11
202,Henry Sibley,4,0.2727272727272727,0.2891566265060241,St. Paul,7,0.5,0.4967320261437909,1,2019,Sat May  4
203,Providence Academy,7,0.4545454545454545,0.471057884231537,Chaska,14,0.3461538461538461,0.4004739336492891,1,2018,Thu May 10
204,Blaine,7,0.68,0.6119791666666666,Andover,8,0.6923076923076923,0.5466101694915254,1,2018,Fri May  4
205,Chaska,2,0.3461538461538461,0.4004739336492891,Mounds View,6,0.48,0.5055928411633109,1,2019,Fri May 17
206,Rocori,6,0.4583333333333333,0.4561855670103093,Monticello,9,0.5652173913043478,0.4962593516209477,1,2019,Fri May 10
207,Rosemount,13,0.72,0.6347826086956522,Edina,8,0.4615384615384616,0.5092592592592593,0,2019,Thu May 23
208,Robbinsdale Armstrong,9,0.4615384615384616,0.4762886597938144,Elk River Zimmerman,10,0.76,0.6173708920187794,1,2019,Mon Apr 15
209,Becker,13,0.6818181818181818,0.6194444444444445,Rocori,3,0.4583333333333333,0.4561855670103093,0,2018,Thu May 17
210,Burnsville,13,0.36,0.4025423728813559,Eastview,12,0.4615384615384616,0.5609756097560976,0,2019,Tue May 14
211,Owatonna,16,0.5769230769230769,0.6091954022988506,Rochester JM Lourdes,4,0.25,0.3605442176870749,0,2019,Thu May 16
212,Forest Lake,5,0.19230769230769232,0.3790849673202614,White Bear Lake,17,0.72,0.6255411255411255,1,2018,Tue May 22
213,Duluth,10,0.8461538461538461,0.6708860759493671,Hermantown Proctor,7,0.4166666666666667,0.4541284403669725,0,2019,Wed May 22
