,Opponent,Location,Date
0,Chaska,Away,Thu Apr  9
1,Monticello,Home,Thu Apr 16
2,Southwest Christian,Home,Mon Apr 27
3,Orono,Home,Thu Apr 30
4,New Prague,Home,Thu May  7
5,Shakopee,Home,Sat May 16
6,St. Michael-Albertville,Home,Thu May 21
7,Buffalo,Away,Mon Apr 13
8,Chisago Lakes,Away,Fri Apr 24
9,Becker,Home,Tue Apr 28
10,Mound Westonka,Away,Mon May  4
11,Waconia,Away,Mon May 11
12,Holy Family,Home,Mon May 18
