,Opponent,Location,Date
0,Rochester Mayo,Away,Fri Apr 10
1,Mankato,Away,Thu Apr 16
2,Eastview,Home,Tue Apr 21
3,Apple Valley,Home,Tue Apr 28
4,Lakeville South,Away,Wed May  6
5,Prior Lake,Home,Tue May 12
6,Burnsville,Away,Tue May 19
7,Hopkins,Home,Tue Apr 14
8,Minnetonka,Home,Sat Apr 18
9,Eagan,Home,Fri Apr 24
10,Rosemount,Home,Thu Apr 30
11,Lakeville North,Away,Fri May  8
12,Shakopee,Away,Thu May 14
