,Opponent,Location,Date
0,Centennial,Home,Thu Apr  9
1,Blaine,Home,Wed Apr 15
2,Rogers,Home,Wed Apr 22
3,Robbinsdale Armstrong,Away,Wed Apr 29
4,Coon Rapids,Home,Mon May 11
5,Burnsville,Away,Sat May 16
6,Elk River Zimmerman,Home,Wed May 20
7,Maple Grove,Away,Mon Apr 13
8,Spring Lake Park,Away,Mon Apr 20
9,Totino-Grace,Away,Mon Apr 27
10,Anoka,Away,Wed May  6
11,Andover,Away,Wed May 13
12,Osseo Park Center,Home,Mon May 18
