,Opponent,Location,Date
0,Tartan,Home,Fri Apr 17
1,Park of Cottage Grove,Away,Thu Apr 23
2,Stillwater,Away,Wed Apr 29
3,Irondale,Home,Wed May  6
4,Woodbury,Away,Wed May 13
5,Simley,Home,Mon May 18
6,Eagan,Home,Thu May 21
7,Roseville,Home,Tue Apr 21
8,St. Thomas Academy,Away,Sat Apr 25
9,White Bear Lake,Away,Fri May  1
10,Forest Lake,Home,Fri May  8
11,Mounds View,Home,Fri May 15
12,Cretin-Derham Hall,Away,Tue May 19
