,Opponent,Location,Date
0,Providence Academy,Away,Thu Apr  9
1,Waconia,Away,Mon Apr 20
2,Delano Rockford,Away,Mon Apr 27
3,Holy Family,Away,Tue May  5
4,Hopkins,Home,Tue May 12
5,Henry Sibley,Home,Mon May 18
6,TrIMAC,Home,Fri May 22
7,Holy Angels,Away,Fri Apr 17
8,St. Louis Park,Away,Sat Apr 25
9,TrIMAC,Away,Thu Apr 30
10,New Prague,Home,Sat May  9
11,St. Paul,Home,Thu May 14
12,Waconia,Home,Tue May 19
13,TrIMAC,Away,Fri May 22
