,Opponent,Location,Date
0,Blake,Home,Thu Apr 16
1,Benilde-St. Margarets,Away,Sat Apr 18
2,Rosemount,Home,Fri Apr 24
3,Bloomington Jefferson,Away,Wed Apr 29
4,Farmington,Home,Wed May  6
5,Lakeville North,Home,Tue May 12
6,Eastview,Away,Tue May 19
7,New Prague,Home,Fri Apr 17
8,Apple Valley,Home,Tue Apr 21
9,Eagan,Home,Tue Apr 28
10,Shakopee,Away,Fri May  1
11,Burnsville,Away,Fri May  8
12,Prior Lake,Away,Thu May 14
