,Opponent,Location,Date
0,Anoka,Away,Fri Apr 10
1,Moorhead,Home,Tue Apr 21
2,Brainerd,Away,Tue Apr 28
3,Monticello,Home,Mon May  4
4,Brainerd,Home,Thu May 14
5,Chisago Lakes,Away,Thu May 21
6,Rocori,Home,Mon Apr 20
7,St. Cloud,Away,Thu Apr 23
8,Rocori,Away,Thu Apr 30
9,St. Cloud,Home,Mon May 11
10,Becker,Away,Tue May 19
11,Holy Family,Away,Thu May 21
