,Opponent,Location,Date
0,Hill-Murray,Away,Sat Apr 11
1,Totino-Grace,Home,Fri Apr 17
2,Roseville,Away,Fri Apr 24
3,Park of Cottage Grove,Home,Wed Apr 29
4,White Bear Lake,Home,Wed May  6
5,Forest Lake,Home,Tue May 12
6,Woodbury,Away,Wed May 20
7,St. Paul,Away,Tue Apr 14
8,Cretin-Derham Hall,Away,Wed Apr 22
9,Hastings,Away,Sat Apr 25
10,Stillwater,Home,Fri May  1
11,Irondale,Home,Fri May  8
12,East Ridge,Away,Fri May 15
