,Opponent,Location,Date
0,Wayzata,Home,Tue Apr 14
1,Chanhassen,Away,Sat Apr 18
2,Forest Lake,Home,Fri Apr 24
3,East Ridge,Home,Wed Apr 29
4,Cretin-Derham Hall,Away,Wed May  6
5,Park of Cottage Grove,Away,Wed May 13
6,Woodbury,Home,Fri May 22
7,St. Thomas Academy,Home,Thu Apr 16
8,Irondale,Home,Wed Apr 22
9,Prior Lake,Home,Sat Apr 25
10,Mounds View,Away,Fri May  1
11,Roseville,Away,Fri May  8
12,White Bear Lake,Away,Wed May 20
