,Opponent,Location,Date
0,Shakopee,Away,Tue Apr 14
1,Minneapolis,Away,Tue Apr 21
2,Owatonna,Home,Sat Apr 25
3,Apple Valley,Home,Fri May  1
4,Burnsville,Home,Thu May  7
5,Robbinsdale Armstrong,Away,Mon May 11
6,Chaska,Home,Tue May 19
7,Rochester Mayo,Away,Fri Apr 17
8,Chanhassen,Home,Thu Apr 23
9,Benilde-St. Margarets,Away,Thu Apr 30
10,Bloomington Jefferson,Away,Tue May  5
11,Holy Angels,Home,Fri May  8
12,St. Louis Park,Home,Tue May 12
