,Opponent,Location,Date
0,Eagan,Home,Tue Apr 14
1,Stillwater,Home,Sat Apr 18
2,St. Louis Park,Away,Thu Apr 30
3,Benilde-St. Margarets,Home,Tue May  5
4,Prior Lake,Away,Sat May  9
5,Blake,Home,Fri May 15
6,Chaska,Away,Thu May 21
7,Bloomington Jefferson,Home,Thu Apr 16
8,Bloomington Kennedy,Away,Thu Apr 23
9,Mahtomedi,Away,Sat May  2
10,Edina,Home,Thu May  7
11,St. Thomas Academy,Home,Tue May 12
12,Wayzata,Away,Tue May 19
