,Opponent,Location,Date
0,Duluth,Away,Fri Apr 17
1,Chisago Lakes,Away,Mon Apr 20
2,Stillwater,Away,Fri Apr 24
3,Irondale,Home,Fri May  1
4,East Ridge,Away,Fri May  8
5,Cretin-Derham Hall,Away,Sat May 16
6,Grand Rapids,Home,Fri May 22
7,Hermantown Proctor,Away,Sat Apr 18
8,Park of Cottage Grove,Home,Wed Apr 22
9,White Bear Lake,Home,Wed Apr 29
10,Woodbury,Home,Wed May  6
11,Mounds View,Away,Tue May 12
12,Roseville,Away,Wed May 20
