,Opponent,Location,Date
0,St. Paul,Home,Wed Apr 15
1,Mahtomedi,Away,Mon Apr 20
2,St. Thomas Academy,Home,Mon Apr 27
3,Holy Family,Home,Fri May  1
4,Simley,Away,Thu May  7
5,North St. Paul,Home,Fri May 15
6,St. Paul,Away,Wed May 20
7,St. Louis Park,Home,Sat Apr 18
8,Hastings,Away,Thu Apr 23
9,Hill-Murray,Home,Wed Apr 29
10,Tartan,Away,Tue May  5
11,TrIMAC,Away,Wed May 13
12,Southwest Christian,Away,Mon May 18
