,Opponent,Location,Date
0,Farmington,Away,Tue Apr 14
1,Edina,Away,Tue Apr 21
2,St. Paul,Home,Sat Apr 25
3,Minnetonka,Home,Thu Apr 30
4,Breck,Home,Thu May  7
5,Southwest Christian,Away,Tue May 12
6,St. Paul,Home,Tue May 19
7,Buffalo,Home,Thu Apr 16
8,Eden Prairie,Home,Thu Apr 23
9,Wayzata,Away,Tue Apr 28
10,St. Michael-Albertville,Away,Tue May  5
11,St. Louis Park,Home,Sat May  9
12,Minneapolis,Away,Mon May 18
13,Holy Angels,Away,Thu May 21
