,Opponent,Location,Date
0,Waconia,Home,Thu Apr 16
1,Brainerd,Home,Thu Apr 23
2,Sartell Sauk Rapids,Home,Thu Apr 30
3,Becker,Home,Thu May  7
4,Brainerd,Away,Mon May 11
5,Waconia,Away,Mon May 18
6,Monticello,Away,Thu May 21
7,Sartell Sauk Rapids,Away,Mon Apr 20
8,St. Cloud,Home,Mon Apr 27
9,Big Lake,Away,Mon May  4
10,Moorhead,Home,Fri May  8
11,St. Cloud,Away,Thu May 14
12,Chisago Lakes,Home,Tue May 19
