,Opponent,Location,Date
0,North St. Paul,Away,Tue Apr 14
1,Woodbury,Away,Sat Apr 18
2,Hill-Murray,Home,Thu Apr 23
3,Holy Angels,Home,Fri May  1
4,Henry Sibley,Home,Thu May  7
5,St. Thomas Academy,Home,Wed May 13
6,East Ridge,Away,Mon May 18
7,Lakeville North,Home,Thu Apr 16
8,Tartan,Away,Mon Apr 20
9,Mahtomedi,Home,Mon Apr 27
10,Hastings,Away,Tue May  5
11,Park of Cottage Grove,Away,Mon May 11
12,Cretin-Derham Hall,Home,Fri May 15
