,Opponent,Location,Date
0,Breck,Away,Tue Apr 14
1,Providence Academy,Home,Thu Apr 16
2,Breck,Home,Thu Apr 23
3,Southwest Christian,Home,Thu Apr 30
4,Hermantown Proctor,Away,Sat May  2
5,Henry Sibley,Home,Wed May 13
6,Southwest Christian,Away,Fri May 22
7,Mound Westonka,Away,Wed Apr 15
8,St. Paul,Away,Wed Apr 22
9,Providence Academy,Away,Tue Apr 28
10,Blake,Away,Thu Apr 30
11,St. Louis Park,Home,Fri May  8
12,Hastings,Home,Tue May 19
13,Southwest Christian,Home,Fri May 22
