,Opponent,Location,Date
0,Spring Lake Park,Home,Thu Apr  9
1,Totino-Grace,Home,Wed Apr 15
2,Champlin Park,Away,Wed Apr 22
3,Duluth,Home,Sat May  2
4,Osseo Park Center,Away,Wed May  6
5,Elk River Zimmerman,Away,Wed May 13
6,Maple Grove,Home,Wed May 20
7,Centennial,Away,Mon Apr 13
8,Blaine,Away,Mon Apr 20
9,Coon Rapids,Away,Wed Apr 29
10,Robbinsdale Armstrong,Home,Mon May  4
11,Anoka,Home,Mon May 11
12,Andover,Home,Fri May 15
