,Opponent,Location,Date
0,Blake,Home,Sat Apr 18
1,Chaska,Home,Tue Apr 28
2,Holy Family,Home,Mon May  4
3,Breck,Away,Sat May  9
4,Holy Angels,Home,Tue May 12
5,New Prague,Away,Mon May 18
6,Shakopee,Home,Fri May 22
7,Monticello,Away,Sat Apr 25
8,Delano Rockford,Away,Thu Apr 30
9,Buffalo,Away,Thu May  7
10,Minneapolis,Home,Mon May 11
11,Mound Westonka,Away,Thu May 14
12,Waconia,Home,Thu May 21
