,Opponent,Location,Date
0,Hermantown Proctor,Home,Thu Apr 16
1,Forest Lake,Home,Mon Apr 20
2,Delano Rockford,Home,Fri Apr 24
3,Big Lake,Away,Thu Apr 30
4,Brainerd,Home,Thu May  7
5,St. Michael-Albertville,Home,Mon May 18
6,Sartell Sauk Rapids,Home,Thu May 21
7,Grand Rapids,Home,Fri Apr 17
8,Monticello,Away,Thu Apr 23
9,Becker,Away,Mon Apr 27
10,St. Cloud,Away,Tue May  5
11,Becker,Home,Thu May 14
12,Rocori,Away,Tue May 19
