,Opponent,Location,Date
0,Burnsville,Home,Tue Apr 14
1,Mound Westonka,Home,Tue Apr 21
2,Breck,Home,Mon Apr 27
3,Providence Academy,Home,Sat May  2
4,Bloomington Kennedy,Away,Fri May  8
5,Minneapolis,Away,Fri May 15
6,Hopkins,Home,Thu May 21
7,Southwest Christian,Home,Fri Apr 17
8,Holy Family,Away,Thu Apr 23
9,Simley,Away,Fri May  1
10,St. Thomas Academy,Home,Tue May  5
11,Orono,Away,Tue May 12
12,Bloomington Jefferson,Home,Mon May 18
