,Opponent,Location,Date
0,Park of Cottage Grove,Home,Tue Apr 14
1,Rochester Mayo,Away,Thu Apr 16
2,Henry Sibley,Home,Thu Apr 23
3,Tartan,Home,Mon Apr 27
4,Cretin-Derham Hall,Home,Sat May  2
5,North St. Paul,Away,Thu May  7
6,Mahtomedi,Away,Wed May 13
7,Rochester Century,Away,Thu Apr 16
8,Hill-Murray,Away,Mon Apr 20
9,Mounds View,Home,Sat Apr 25
10,St. Thomas Academy,Home,Wed Apr 29
11,Simley,Home,Tue May  5
12,Woodbury,Home,Mon May 11
13,TrIMAC,Away,Tue May 19
