,Opponent,Location,Date
0,Stillwater,Away,Thu Apr 16
1,North St. Paul,Away,Mon Apr 20
2,East Ridge,Home,Sat Apr 25
3,Hastings,Away,Wed Apr 29
4,Holy Angels,Away,Tue May  5
5,Chanhassen,Away,Tue May 12
6,Benilde-St. Margarets,Home,Tue May 19
7,Rosemount,Home,Sat Apr 18
8,Mahtomedi,Home,Thu Apr 23
9,Henry Sibley,Away,Mon Apr 27
10,Hill-Murray,Home,Tue May  5
11,Tartan,Home,Thu May  7
12,Simley,Away,Wed May 13
13,Cretin-Derham Hall,Home,Thu May 21
