,Opponent,Location,Date
0,Hill-Murray,Away,Tue Apr 14
1,Eden Prairie,Home,Thu Apr 16
2,Minnetonka,Away,Thu Apr 23
3,Hopkins,Home,Tue May  5
4,Monticello,Home,Mon May 11
5,Mahtomedi,Home,Sat May 16
6,Delano Rockford,Away,Thu May 21
7,Irondale,Away,Wed Apr 15
8,Wayzata,Away,Tue Apr 21
9,Edina,Away,Thu Apr 30
10,Moorhead,Away,Sat May  9
11,Buffalo,Home,Tue May 12
12,Chisago Lakes,Away,Mon May 18
