,Opponent,Location,Date
0,New Prague,Home,Sat Apr 18
1,Woodbury,Home,Fri Apr 24
2,Park of Cottage Grove,Away,Fri May  1
3,Stillwater,Home,Wed May  6
4,Blaine,Home,Sat May  9
5,Simley,Away,Fri May 15
6,East Ridge,Home,Tue May 19
7,Mounds View,Home,Wed Apr 22
8,Roseville,Home,Wed Apr 29
9,Hastings,Away,Sat May  2
10,White Bear Lake,Away,Fri May  8
11,Irondale,Away,Wed May 13
12,Forest Lake,Home,Sat May 16
13,St. Thomas Academy,Away,Thu May 21
