,Opponent,Location,Date
0,Stillwater,Away,Tue Apr 14
1,St. Michael-Albertville,Home,Tue Apr 21
2,Lakeville North,Away,Sat Apr 25
3,Hopkins,Home,Tue Apr 28
4,Buffalo,Home,Tue May  5
5,Eden Prairie,Away,Tue May 12
6,Minnetonka,Away,Thu Apr 16
7,Edina,Away,Thu Apr 23
8,White Bear Lake,Away,Mon Apr 27
9,Rosemount,Away,Sat May  2
10,Mahtomedi,Home,Sat May  9
11,Chanhassen,Home,Tue May 19
