,Opponent,Location,Date
0,Andover,Home,Thu Apr  9
1,Maple Grove,Home,Wed Apr 15
2,Spring Lake Park,Home,Wed Apr 22
3,Centennial,Away,Mon Apr 27
4,Blaine,Away,Mon May  4
5,Rogers,Away,Mon May 11
6,Robbinsdale Armstrong,Away,Mon May 18
7,Sartell Sauk Rapids,Home,Fri Apr 10
8,Elk River Zimmerman,Away,Mon Apr 20
9,Osseo Park Center,Away,Fri Apr 24
10,Totino-Grace,Home,Wed Apr 29
11,Champlin Park,Home,Wed May  6
12,Coon Rapids,Home,Wed May 13
