,Opponent,Location,Date
0,Hastings,Home,Thu Apr 16
1,Northfield,Away,Mon Apr 20
2,Rochester JM Lourdes,Away,Sat Apr 25
3,Mankato,Away,Thu Apr 30
4,Rochester JM Lourdes,Home,Mon May  4
5,Owatonna,Away,Mon May 11
6,Mankato,Home,Mon May 18
7,Duluth,Away,Sat Apr 18
8,Owatonna,Home,Thu Apr 23
9,Rochester Mayo,Away,Mon Apr 27
10,Chaska,Away,Sat May  2
11,Northfield,Home,Thu May  7
12,Rochester Mayo,Home,Wed May 13
