,Opponent,Location,Date
0,Delano Rockford,Home,Mon Apr 13
1,Hopkins,Away,Thu Apr 16
2,Eden Prairie,Home,Sat Apr 25
3,Andover,Away,Thu Apr 30
4,Wayzata,Away,Tue May  5
5,St. Michael-Albertville,Away,Tue May 12
6,Mound Westonka,Home,Thu May 21
7,Monticello,Away,Tue Apr 14
8,Minnetonka,Home,Tue Apr 21
9,Edina,Home,Mon Apr 27
10,Moorhead,Home,Fri May  1
11,Orono,Home,Thu May  7
12,Becker,Away,Fri May 15
