,Opponent,Location,Date
0,St. Cloud,Home,Thu Apr 16
1,Sartell Sauk Rapids,Away,Tue Apr 21
2,Buffalo,Away,Fri May  1
3,St. Michael-Albertville,Home,Sat May  9
4,Hermantown Proctor,Away,Sat May 16
5,Brainerd,Away,Sat Apr 18
6,Grand Rapids,Home,Sat Apr 25
7,Rocori,Away,Fri May  8
8,Grand Rapids,Away,Fri May 15
9,Minneapolis,Away,Fri May 22
