,Opponent,Location,Date
0,Minnetonka,Away,Sat Apr 11
1,Mahtomedi,Away,Sat Apr 18
2,Apple Valley,Away,Thu Apr 23
3,Prior Lake,Home,Tue Apr 28
4,Shakopee,Home,Tue May  5
5,Burnsville,Home,Tue May 12
6,Lakeville South,Home,Tue May 19
7,Edina,Away,Wed Apr 15
8,Farmington,Away,Tue Apr 21
9,Bloomington Jefferson,Home,Sat Apr 25
10,Lakeville North,Away,Thu Apr 30
11,Rosemount,Away,Thu May  7
12,Eagan,Away,Thu May 14
