,Opponent,Location,Date
0,New Prague,Away,Thu Apr  9
1,Farmington,Home,Thu Apr 16
2,Rochester JM Lourdes,Away,Tue Apr 21
3,Northfield,Home,Tue Apr 28
4,Rochester Mayo,Home,Mon May  4
5,Rochester JM Lourdes,Home,Mon May 11
6,Rochester Century,Away,Mon May 18
7,Rochester Mayo,Away,Mon Apr 13
8,Owatonna,Home,Mon Apr 20
9,Waconia,Away,Fri Apr 24
10,Rochester Century,Home,Thu Apr 30
11,Owatonna,Away,Thu May  7
12,Northfield,Away,Fri May 15
