,Opponent,Location,Date
0,Simley,Home,Sat Apr 18
1,Cretin-Derham Hall,Away,Fri Apr 24
2,Roseville,Home,Fri May  1
3,Park of Cottage Grove,Away,Fri May  8
4,East Ridge,Home,Wed May 13
5,Eden Prairie,Home,Mon May 18
6,Stillwater,Away,Fri May 22
7,White Bear Lake,Home,Wed Apr 22
8,Irondale,Away,Wed Apr 29
9,Forest Lake,Away,Wed May  6
10,Hastings,Away,Mon May 11
11,Eden Prairie,Away,Mon May 18
12,Mounds View,Home,Wed May 20
13,Duluth,Away,Sat May 23
