,Opponent,Location,Date
0,Holy Angels,Away,Tue Apr 14
1,Eagan,Away,Mon Apr 20
2,Rosemount,Home,Tue Apr 28
3,Apple Valley,Home,Tue May  5
4,Lakeville South,Home,Fri May  8
5,Lakeville North,Away,Thu May 14
6,Farmington,Home,Tue May 19
7,Bloomington Jefferson,Home,Sat Apr 18
8,Shakopee,Home,Fri Apr 24
9,Prior Lake,Away,Thu Apr 30
10,Bloomington Kennedy,Away,Thu May  7
11,Eastview,Away,Tue May 12
12,Champlin Park,Home,Sat May 16
