,Opponent,Location,Date
0,Chanhassen,Away,Tue Apr 14
1,Eden Prairie,Away,Tue Apr 21
2,Lakeville South,Away,Tue Apr 28
3,Lakeville North,Away,Mon May  4
4,Benilde-St. Margarets,Away,Sat May  9
5,Eastview,Home,Thu May 14
6,East Ridge,Away,Thu May 21
7,Burnsville,Home,Mon Apr 20
8,Farmington,Away,Fri Apr 24
9,Apple Valley,Home,Thu Apr 30
10,Shakopee,Home,Thu May  7
11,Rosemount,Home,Tue May 12
12,Prior Lake,Away,Tue May 19
