,Opponent,Location,Date
0,Delano Rockford,Home,Thu Apr  9
1,Benilde-St. Margarets,Home,Thu Apr 16
2,Bloomington Jefferson,Away,Thu Apr 23
3,Rochester Century,Home,Sat May  2
4,Waconia,Away,Thu May  7
5,Rochester Mayo,Away,Sat May 16
6,Chanhassen,Home,Thu May 21
7,Holy Family,Home,Tue Apr 14
8,Shakopee,Away,Sat Apr 18
9,Orono,Away,Tue Apr 28
10,St. Louis Park,Home,Tue May  5
11,Mound Westonka,Away,Tue May 12
12,Bloomington Kennedy,Away,Tue May 19
