,Opponent,Location,Date
0,Hastings,Away,Tue Apr 14
1,East Ridge,Home,Thu Apr 23
2,Mounds View,Away,Wed Apr 29
3,Roseville,Away,Wed May  6
4,Simley,Home,Mon May 11
5,White Bear Lake,Home,Fri May 15
6,Tartan,Away,Thu May 21
7,Forest Lake,Away,Wed Apr 22
8,Lakeville North,Home,Mon Apr 27
9,Cretin-Derham Hall,Home,Fri May  1
10,Woodbury,Home,Fri May  8
11,Stillwater,Home,Wed May 13
12,Irondale,Away,Tue May 19
