,Opponent,Location,Date
0,Eastview,Home,Wed Apr 15
1,Hopkins,Home,Tue Apr 21
2,Buffalo,Away,Mon Apr 27
3,Bloomington Jefferson,Home,Sat May  2
4,Chanhassen,Away,Thu May  7
5,Benilde-St. Margarets,Home,Sat May 16
6,Rosemount,Home,Thu May 21
7,Prior Lake,Home,Sat Apr 18
8,Wayzata,Home,Thu Apr 23
9,St. Michael-Albertville,Home,Thu Apr 30
10,Eden Prairie,Away,Tue May  5
11,Minnetonka,Away,Tue May 12
12,Blake,Away,Tue May 19
