,Opponent,Location,Date
0,Edina,Away,Sat Apr 18
1,Lakeville North,Home,Thu Apr 23
2,Eastview,Away,Tue Apr 28
3,Benilde-St. Margarets,Home,Sat May  2
4,Apple Valley,Away,Thu May  7
5,Farmington,Away,Tue May 12
6,Eagan,Home,Tue May 19
7,Shakopee,Away,Tue Apr 21
8,Stillwater,Away,Sat Apr 25
9,Burnsville,Home,Thu Apr 30
10,Rosemount,Away,Wed May  6
11,Chanhassen,Home,Sat May  9
12,Lakeville South,Home,Thu May 14
