,Opponent,Location,Date
0,Bloomington Jefferson,Away,Sat Apr 11
1,Lakeville North,Away,Tue Apr 21
2,Burnsville,Away,Tue Apr 28
3,Wayzata,Home,Sat May  2
4,Eastview,Home,Thu May  7
5,Apple Valley,Away,Thu May 14
6,Edina,Away,Thu May 21
7,St. Thomas Academy,Away,Sat Apr 18
8,Lakeville South,Away,Fri Apr 24
9,Farmington,Away,Thu Apr 30
10,Prior Lake,Home,Wed May  6
11,Eagan,Away,Tue May 12
12,Shakopee,Home,Tue May 19
