,Opponent,Location,Date
0,Champlin Park,Away,Thu Apr  9
1,Coon Rapids,Away,Wed Apr 15
2,Osseo Park Center,Away,Wed Apr 22
3,Elk River Zimmerman,Away,Wed Apr 29
4,Maple Grove,Home,Mon May 11
5,Spring Lake Park,Away,Mon May 18
6,Benilde-St. Margarets,Away,Thu May 21
7,Rogers,Home,Mon Apr 13
8,Robbinsdale Armstrong,Home,Mon Apr 20
9,Anoka,Home,Mon Apr 27
10,Andover,Home,Mon May  4
11,Blaine,Home,Wed May 13
12,Totino-Grace,Away,Wed May 20
