,Opponent,Location,Date
0,Northfield,Home,Mon Apr 13
1,Mankato,Away,Mon Apr 20
2,Bloomington Kennedy,Away,Sat Apr 25
3,Rochester Mayo,Away,Thu Apr 30
4,Mankato,Home,Thu May  7
5,St. Paul,Away,Tue May 12
6,Rochester Mayo,Home,Mon May 18
7,Apple Valley,Home,Sat Apr 18
8,Rochester Century,Away,Thu Apr 23
9,Rochester JM Lourdes,Home,Mon Apr 27
10,Northfield,Away,Mon May  4
11,Rochester Century,Home,Mon May 11
12,Rochester JM Lourdes,Away,Thu May 14
