,Opponent,Location,Date
0,Delano Rockford,Away,Thu Apr 16
1,Chisago Lakes,Home,Thu Apr 23
2,Big Lake,Away,Mon Apr 27
3,Brainerd,Away,Fri May  1
4,St. Cloud,Home,Thu May  7
5,Big Lake,Home,Thu May 14
6,Buffalo,Home,Tue Apr 14
7,Becker,Away,Mon Apr 20
8,Orono,Home,Sat Apr 25
9,Becker,Home,Thu Apr 30
10,Sartell Sauk Rapids,Away,Mon May  4
11,St. Michael-Albertville,Away,Mon May 11
12,Rocori,Home,Thu May 21
