,Opponent,Location,Date
0,Duluth,Home,Sat Apr 11
1,Hermantown Proctor,Away,Fri Apr 17
2,Stillwater,Away,Wed Apr 22
3,Woodbury,Home,Wed Apr 29
4,East Ridge,Away,Wed May  6
5,Cretin-Derham Hall,Home,Wed May 13
6,Park of Cottage Grove,Home,Tue May 19
7,St. Michael-Albertville,Home,Wed Apr 15
8,Totino-Grace,Home,Mon Apr 20
9,White Bear Lake,Home,Fri Apr 24
10,Forest Lake,Away,Fri May  1
11,Mounds View,Away,Fri May  8
12,Roseville,Away,Fri May 15
