,Opponent,Location,Date
0,Grand Rapids,Home,Thu Apr  9
1,Chisago Lakes,Away,Thu Apr 16
2,Forest Lake,Home,Sat Apr 18
3,St. Paul,Away,Wed Apr 29
4,TrIMAC,Home,Sat May  2
5,Northfield,Home,Fri May  8
6,Hill-Murray,Home,Thu May 21
7,Duluth,Home,Tue Apr 14
8,Irondale,Home,Fri Apr 17
9,Minneapolis,Home,Fri Apr 24
10,Grand Rapids,Away,Fri May  1
11,Duluth,Away,Wed May  6
12,Moorhead,Home,Sat May 16
