,Opponent,Location,Date
0,Coon Rapids,Away,Thu Apr  9
1,Osseo Park Center,Away,Wed Apr 15
2,Minnetonka,Away,Sat Apr 25
3,Centennial,Home,Wed Apr 29
4,Blaine,Home,Wed May  6
5,Rogers,Home,Wed May 13
6,Champlin Park,Away,Wed May 20
7,Robbinsdale Armstrong,Home,Mon Apr 13
8,Anoka,Home,Mon Apr 20
9,Andover,Home,Mon Apr 27
10,Maple Grove,Away,Mon May  4
11,Spring Lake Park,Away,Mon May 11
12,Totino-Grace,Away,Mon May 18
