,Opponent,Location,Date
0,Rocori,Away,Thu Apr 16
1,Southwest Christian,Home,Mon Apr 20
2,Mankato,Home,Fri Apr 24
3,New Prague,Away,Mon May  4
4,Delano Rockford,Home,Mon May 11
5,Rocori,Home,Mon May 18
6,Orono,Away,Thu May 21
7,Providence Academy,Home,Sat Apr 18
8,St. Louis Park,Away,Thu Apr 23
9,Mound Westonka,Home,Thu Apr 30
10,Chaska,Home,Thu May  7
11,Holy Family,Away,Thu May 14
12,Southwest Christian,Away,Tue May 19
