,Opponent,Location,Date
0,Moorhead,Home,Sat Apr 18
1,Rocori,Away,Thu Apr 23
2,St. Cloud,Away,Thu Apr 30
3,Becker,Away,Mon May  4
4,Rocori,Home,Mon May 11
5,Grand Rapids,Away,Tue May 12
6,Big Lake,Home,Thu May 21
7,St. Cloud,Home,Mon Apr 20
8,Sartell Sauk Rapids,Home,Tue Apr 28
9,Monticello,Home,Fri May  1
10,Chisago Lakes,Away,Thu May  7
11,Grand Rapids,Home,Tue May 12
12,Sartell Sauk Rapids,Away,Thu May 14
